replies,retweets,favorites,text,day,time
0,1,1,  احس هيئه الترفيه مستقصدين سكان الحي والا فيه العاب ناريه ١٢٣٠ اقلها عطونا ستيكر على السيارات نقدر ندخل الحي ونتجاوز الطرق المغلقه,19/10/2019,15:46
0,0,0,  كان بودنا لو تم استشاره وزاره الحج لعرض خطه تفويج الحجاج           الوضع اسوا مايكون عند حصول حاله طارئه,19/10/2019,15:35
0,1,1,   ,19/10/2019,15:07
0,2,0,  الى متى وضع  ,19/10/2019,15:07
2,8,6,مجهودات جباره على اعلى مستوى لانجاح موسم الرياض لكن محد من المسؤولين فكر بوضع سكان حي حطين شي مخجل ومؤسف ان بلد بهالامكانيات مو قادره تحل مشكله مثل هذي          ,19/10/2019,15:05
0,0,0,  يا  ء_المرور تعال خذلك لفه صغيره في   وغرد عن وضع السيارات اللى واقفه غلط بكل شارع والبعض مسكر ابواب المنازل وبعض والشوارع مغلقه السؤال الى متى هذا الوضع,19/10/2019,15:04
1,0,1,  فراقيع في منتصف الليل ,19/10/2019,14:56
4,2,1,بيتنا على شارعين وكلها سيارات نجي ماتقدر نوقف او ندخل بيتنا سيارات وراء بعض واقفه وساده الباب  ,19/10/2019,14:51
0,0,0,  استغرب اغلاق دوار تركي الاول مع محمد بن سلمان وبعض الطرقات والبوليفارد مغلق من الصباح الى بعد صلاه الظهر كيف نطلع من   وندخل الى منازلنا بكل راحه  ,19/10/2019,14:43
0,0,0,كارثه الوضع لايطاق للسكان الحي  ,19/10/2019,14:32
1,0,2,  الله يعين مايكغينا الرياض بارك وزحمته يجينا موسم الرياض كان راحو للجنادريه مناسبه لهم وبعيده عن المساكن انغثينا والله من الزحام ,19/10/2019,14:19
2,26,30,تشكرون على جهودكم المبذوله يا مستشار لكن سكان   يعانون في الوصول لبيوتهم وامام منازلهم من الزوار آمل منكم متابعه الهاشتاق   وتلافي بعض المشاكل الموجوده وكلنا ثقه بكم ,19/10/2019,13:25
0,2,0,  ياليت يشوفون حل للاهالي اغلب طرق الحي مقفله العاب ناريه بعد الساعه ١٢ الليل زحمه غير طبيعيه في الشوارع الداخليه فوضى المواقف والوقوف في اماكن مخالفه,19/10/2019,13:06
0,0,3,تزخر الرياض بامكان بيضاء واسعه وليست قريبه من اماكن حيويه  اقترح ابعادها عن المناطق الماهوله بالسكان مثلا طريق الملك عبدالعزيز شمال او قرب العيينه او قرب الجنادريه هذا راح يحل ازمه المواقف او اغلاق طرق  ,19/10/2019,11:52
1,3,3,العاب ناريه الساعه ٢ صباحا يوم السبت ١٩ اكتوبر  هل هذا يعقل  اذا انتم ناس تسهر بالليل وتنام بالنهار احنا ناس طبيعيين ننام بدري حتى داخل بيوتنا ما نرتاح        ,19/10/2019,11:46
0,1,0,  على كثر محاولات الحوثي لافزاع المواطنين وترويع الاطفال في بلدنا الا ان قواتنا ودفاعنا كان له بالمرصاد ولم يحقق له مبتغاه ثم ياتينا سوء التنظيم والتركيز على شريحه واحده فقط من المواطنين واهمال البقيه فيفزع النائمين في بيوتهم ويرعب الاطفال بالالعاب الناريه ٢ليلا,19/10/2019,11:30
0,1,1,حينا من يومه هادي وتطلع ودخل وانت مرتاح وفي يوم وليله ازعاج وزحمه والالعاب الناريه في البدايه حسبتها صاروخ من الحوثي  الله يكفينا شره و ينصر جنودنا ثمن استوعبت انها الافتتاحيه  ,19/10/2019,10:58
5,2,0,المفروض لعبو على حقين جنوب الرياض وحطو لهم نافوره راقصه في وادي نمار والا بحيره منتزه سلام تغني لهم ياطيبه وحطو لحقين شرق مثلها تمويه اما انك تجمع امه لا اله الا الله في نقطه تجمع صغيره وضيقه صعب   ,19/10/2019,10:43
19,82,48,ان يتحول الترفيه لتطفيش اهالي حي نخرج ان خرجنا مضطرين ولا نعلم كيف ندخل الحي مره آخرىالمرور يحولنا للمواقف تمام الساعه الثانيه والنصف ليلا كم من صغار فزعوا من نومهم وكم من مريض انهك فوق مرضه بخوف شديد وكانها انفجارات متتاليه العاب ناريه بوسط حي سكني  ,19/10/2019,10:31
1,1,1,  العاب ناريه الساعه ١٢٣٠ فجرا  يعني كيف ينامون اطفالنا  اللي اعرفه الالعاب الناريه تكون ٨ او ٩ مساء  فوق الزحمه مانقدر ننام من هالالعاب اللي كنها قنابل  حرجه او طارئه      ,19/10/2019,10:31
1,0,0,  سبحان الله وبحمده سبحان الله العظيم  طيب اقلها اعطووو اصحاب البيوت تصربح دخول بيوتهم الشرطه تمنع الدخول والبيت قدامي مومعقوله ,19/10/2019,10:28
0,0,0,  العاب ناريه الساعه ١٢٣٠ فجرا  يعني كيف ينامون اطفالنا  اللي اعرفه الالعاب الناريه تكون ٨ او ٩ مساء  فوق الزحمه مانقدر ننام من هالالعاب اللي كنها قنابل  حرجه او طارئه      ,19/10/2019,10:27
1,1,0,  حل المشكله بسيط يتمثل في اعطاء سكان الحي استكرات تلصق على السياره ويرضع عند مداخل الحي دوريات تتحقق من دخول السيارات التي عليها استكر,19/10/2019,09:58
1,0,0,  عليكم بالصبر يا اهل حطين في سبيل دعم نجاح موسم الترفيه القائم في الرياض انتم في نعمه عظيمه كون هذي الفعاليات على بعد خطوه واحده من منازلكم,19/10/2019,09:33
0,0,0,اعداء الترفيه بيستغلون ابووه  ,19/10/2019,09:21
0,0,0,لما يجيك مثل هذي النوعيه همها التطبيل حتى على باطل اعرف ان المجتمع لسى يعاني احنا مو ضد الترفيه بس الغلط غلط لاتصير مالك راي يكفي الاشكال اللي تشوفها وقت الاحتفالات لا ثقافه ولا احترام من اليوم الوطني وتصرفات تجيب المرض ترى عندنا التزامات وامور اهم    ,19/10/2019,09:08
2,0,1,بصراحه معاناه  انا تفكيري مو بالزحمه بس الازعاج المؤذي الصاخب للمرضى وغير المرضى مافي احترام وخصوصيه لاهل الحي شي يخجل  لبسنا قشره الحضاره والروح جاهليه   ,19/10/2019,08:50
0,0,0, ,19/10/2019,08:31
1,0,1,الغريبه في الموضوع ان اغلب مرتادي الفعاليات من خارج الحي ومن مناطق اخرى بعيده جدا ,19/10/2019,08:27
3,2,1,  نقطه رقم واحد وش قصدهم بالشركه المشغله هل رفع الشكوى يكون في مبنى الاماره ولا فيه طريقه اون لاين اللي عنده خلفيه يفيدني لان خلاص طفح الكيل ,19/10/2019,07:56
0,2,2,  هل انظمه البلد تسمح بخرق القوانين ليتم التعدي على الاحياء المجاوره بالازعاج وتسكير مداخل الحي يجب رفع قضيه على هيئه الترفيه,19/10/2019,07:52
1,1,0,تجهيز مكان يكون استثنائي للموسم مع استضافه افضل المطاعم والمقاهي العالميه لاستقبال زوار باعداد ضخمه بدون تجهيز اماكن مخصصه لمواقف السيارات ضحيتها اصبحت سكان الحي  لماذا تم اختيار حي حطين بوجه التحديد وهو حي سكني   ,19/10/2019,07:43
2,0,1,والله انتظر هالهشتاق من اول يوم  ,19/10/2019,07:31
3,2,3,  بس يصرفون بطاقات مرور سريع للسكان  صراحه مشكله الواحد يشوف بيته ولا يقدر ياصل له  والمشكله الادهى توقيف سياراتهم داخل الحي واغلاق الابواب وللاسف نوعيات غريبه وعجيبه ما ادري وينها جايه منه ,19/10/2019,07:23
0,0,1,    ,19/10/2019,07:19
1,2,0,ناس مبسوطه وناس مقهوره معاناه حقيقيه نعيشها بسبب موقع الحفل داخل الحي والمرور والزحام مسكر علينا هل ستستمر المعاناه ام يجدون لنا حل وهو تغير الموقع الى خارج الاحياء السكنيه  ,19/10/2019,07:10
2,0,0,  الهاشتاق فرصه قاعد يستغلها اعداء الترفيه والسعاده للهجوم على العمل المميز اللي يقدمه معالي المستشار,19/10/2019,07:07
0,0,1,مفرقعات ناريه بعد نص الليل معقول من وضع التوقيت عليه مراجعه ذلك وجعلها عشر او تسع مساء  ,19/10/2019,06:44
0,0,0,من الصبح مسكره الشوارع يالله صباح خير من المفترض ان الاحتفالات تكون خارج الاحياء السكنيه ماشاء الله الرياض تحيط بها اراضي شاسعه البديل موجود  ,19/10/2019,06:39
1,0,0,  خلونا نعترف انه كثير عندنا فيهم همجيه المرور حط لنا خطه مروريه علشان نتفادى هالزحام والفعاليه وفرت مواقف ضعف حجمها مع العلم انه المكان فعلا باطراف الرياض وما حوله مباني الا زاويه حي حطين لكن للاسف من الاسهل على الناس تشغل قوقل مباشره بدل ما تتبع الخطه,19/10/2019,06:16
0,0,0,  العاب ناريه نص الليل فزينا من النوم حسبي الله وكفى مشوارينا كنسلناها بسبب الزحمه اذا مومستعدين للسياحه كنتو اجلتوها شوي,19/10/2019,05:39
1,0,0,رضينا بالزحمه وصعوبه الدخول والخروج من الحي لكن اصوات الالعاب الناريه المتفجرات والاغاني والموسيقى موجوده بعد الساعه ١٢ ليلا هذا شي لايحتمل لازم تشوفون له حل      ,19/10/2019,05:10
1,0,0,الله يعين الاهالي  ,19/10/2019,04:29
0,0,0,لا بد من عمل تنظيم عالي لسكان الحي امس تقريبا ساعه ونصف حتى اوصل البيت من الزحام وفي النهايه لم استطع ان اوقف سيارتي عند بيتي بسبب الزحام  ,19/10/2019,03:40
0,0,0,  الحل تظلم ببرقيه عاجله لمقام الملك وولي عهده تظلم عاجل للامارهوالداخليه وهيئات حقوق الانسان ومكافحه الفسادوالرقابهوالتحقيق والترفيه ووزاره الشؤون البلديه تقديم دعوى لديوان المظالم ضد الترفيه والبلديات بازالهالموقع ومنعهم من ايه فعاليه في الحي وط تركي والخير,19/10/2019,03:34
1,0,0,المشكله انه الفعاليه صعب تنتقل لانه اوردي بنو النافوره والاشياء الثانيه في البوليڤارد الله يعيين  ,19/10/2019,03:01
1,3,0,  لا كذا كثيييييير مره الساعه تقريبا ٦ الصباح واصوات الموسيقى شغاله والله كثيييير شي من الاحترام لاهل الحي مصختوها بقوه    ,19/10/2019,02:54
3,1,0,واصبر اذا انكبو علينا حقين عفيف والدوادمي بيبيعون اهل حطين بيوتهم   ومخرج ٢٤٥باي باي ياعرب وسلم لي عالبتينقان,19/10/2019,01:39
0,1,0,  ربنا فاغفر لنا ذنوبنا وكفر عنا سيئاتنا وتوفنا مع الابرار,19/10/2019,01:18
0,1,1,عمل اكثر من رائع بسسسسس الزحمه غير طبعيه نضطر نوقف اشغالنا بسبب الزحمه واليوم الساعه ١٢٣٠ نسمع العاب ناريه طيب فيه ناس نايمه ليش تصحونهم نتمنى تنحل المشكله        ,19/10/2019,00:45
0,2,2,  الساعه الان ٣٣٠ فجرا ولازال المرور يقفل الطرق والحي يعج بالسيارات الله يعينا على مابلانا      ,19/10/2019,00:43
1,1,0,ساعه ونص ع شان اوصل البيت وصلت البيت الاقي سيارات واقفه امام البيت والكراج  الله يعين ع ذا الشهرين ذي متي تخلص  ,19/10/2019,00:16
0,1,0,اي هنا الرد اسرع شي حسبي الله فيكم بس هنا ولا حتي اعتذار  ,19/10/2019,00:09
0,1,0,  توقيت الالعاب الناريه غير موفق  الساعه ١٢٣٠  اتمنى احترام سكان الحي  ,19/10/2019,00:06
0,2,0,    ما اقول الا الله ياجرنا على ال٧٠ يوم ,18/10/2019,23:58
0,5,2,  معلييش اوففر مره الوضع الي قاعد يصير اجل ١ونص الفجر العاب نارريه فيه اطفال وكبار بالسن في البيوت روعتوهم         ,18/10/2019,23:48
0,0,0,  ارجو الانتباه من الشباب المتهورين بسرعه القياده علما انه يوجد اطفال ورجال يمشون على الاقدام واتمنى في السنه القادمه تغيير مكان البلو ڤارد الى الجنادريه حيث انه مهيئ من جميع النواحي بعيد عن الازدحام ويوجد به موقف للسيارات وعدم ازعاج الاحياء القريبه منه,18/10/2019,23:48
0,1,1,  من متى معلنين عن الذوق العام كانظام قانون المفترض كلنا نرفع ونكسب القضيه بالراحه تعويض مادي خل وزاره الترفيه تقفل من بدري ,18/10/2019,23:45
3,4,3,  انا من سكان حي حطين والقريبين جدا من الموسم و بدؤ بالالعاب الناريه الساعه ١فجرا وافزعو اطفالي النائمين اطالب بيقاف الالعاب الناريه التي تشبه القنابل  الغريب انهم يقولو ان اصوات المآذن تفزع الاطفال  ياسبحان الله,18/10/2019,23:26
0,0,0,لو انكم ساكنين في الدخل كان اموركم تمام  ,18/10/2019,23:25
2,4,1,الالعاب الناريه الساعه ٢ سلامات فيه كبار سن ومرضى واطفال وغير العالم الي توقف قدام البيت وما تقدر تطلع من البيت اتمنى ايجاد حلول            at Hittin District  حي حطين,18/10/2019,23:21
0,0,0,الله يعينكم باذن الله تلقون حل قريب لان صعب جدا يكون كذا وضعكم طول الموسم   ,18/10/2019,23:18
0,1,0,  وين اللي كانو ينادون باقفال السماعات الخارجيه وقت الصلاه نتمنى يعطونا رايهم في اللي قاعد يصير,18/10/2019,23:18
0,0,0,انا اقول ياتعويض مادي لنا ولا ترفيه خاص لنا مهزله الف  ,18/10/2019,23:15
0,1,1,نطالب بوقف الالعاب الناريه ليلا ليس من المنطق ان يقام موسم الرياض بهذه الترتيبات الجميله في وسط حي سكني وليس من المعقول الالعاب الناريه الساعه 2  ,18/10/2019,23:14
0,0,0,تخيلت الرجل الحديدي عملاق ويمشي ويرفس بالارض اوووف ادرنالين رش هههه  ,18/10/2019,23:13
0,0,0,حطين انا ساكته ومتحمله يالطيف يالهمج اكتشفت ان بعض الناس مايعرف شي اسمه شل عقبك ولا الازعاج ياليت نصير نفس كوريا بالنظافه  ,18/10/2019,23:09
1,1,1,  يرحم امك بيتي يبعد عن الفعاليه كيلو ونص وتجي تحط طراطيع الساعه ١٢٣٠ و ١٥٠ الصبح الناس تبي تنام ياخي امي تعبانه وقايمه منخرشه من قوه الصوت شغلوا لين تملون بس مب بعد الساعه ١١ الناس تبي تنام ياساده  ,18/10/2019,23:08
1,2,0,ياليت اذا فيه العاب ناريه بعد الساعه ١٢ يكون معلن عنها والله صوتها مرررعب فجاه الساعه ٢ اصوات مره قويه  على الاقل احترام لسكان الحي مو يكفي مسكرين كل الشوارع قرب الاحتفالات من بيتك نعمه ونقمه بنفس الوقت  2019    ,18/10/2019,23:07
0,2,1,اذا مطار هيثرو على اهميته يقفل الساعه 12 مراعاه للمجاورين من حوله وانتم متى ناوين توقفون الالعاب الناريه  ,18/10/2019,23:02
3,2,3,  معاليك  احنا فعلا سعداء بموسم الرياض وفخورين بما قدمتم وانجزتم  لكن الوضع هاليومين غير محتمل بغض النظر عن الاختناق المروري والازدحام  فايروركس للساعه ٢ الفجر ليه  في بيوتنا اطفال وكبار سن ومرضى  غير منطقي ان يحدث كل هذا في مناطق سكنيه  ,18/10/2019,23:01
4,4,3,والى متى بتستمر الالعاب الناريه   ,18/10/2019,23:00
1,2,4,  هالمهزله بتصير كل يوم لمده شهرين شلون يعني مانقدر نرتاح ببيوتنا     ,18/10/2019,22:59
2,1,3,هذا وقت العاب ناريه بلاه الساعه ١٥١ ص    ,18/10/2019,22:58
0,0,0,  توقيت   غبي جداا  ,18/10/2019,22:57
0,1,0,  مو معقوله ماخذوا في بالهم السكان  ازعاج ازعاج غير طبيعي  كانها عندي هالالعاب ,18/10/2019,22:57
0,10,5,  يا رجل العاب ناريه الساعه ٢٠٠ ص في منطقه سكنيه    ,18/10/2019,22:55
1,0,3,  وشو بعد هالصوت العاب ناريه ولا رعد ولا حرب ترى الساعه٢ الفجر خافو ربكم  2019  ,18/10/2019,22:55
4,5,5,    ,18/10/2019,22:53
0,0,0,توقعت الفعاليات بعيده عن مساكن الناس اهل هالحي الله بكون بعونهم  ,18/10/2019,22:32
1,1,1,              والله الحي يعاني والمنازل فيها كبار سن ومرضى واطفال وشوارع الاحياء صارت طرق سريعه وازعاج وقذاره والله عيب نعرف ان الذوق العام مهم والنظافه كذلك ولكبار السن احترام وللمرضى هدوء ,18/10/2019,22:28
0,0,0,جعلكم تنامو في جهنم  ,18/10/2019,22:22
7,2,0,    طبعا صاحبه السياره توها تشرف وتدق الباب بعد الساعه ١٢  وعذرها هم قالوا لي هالييوت مهيب مسكونه ,18/10/2019,22:19
0,0,0,    والله عيب وعدم احترام للذوق العام ولسكان الحي واكبر غلط عدم ترتيب وتنظيم للمسارات والمواقف صارت منازل الحي  ياوجه استح وين الدوريات عن العينات المزعجه والمؤذيه كبار السن مالهم قيمه واحترام استحوا على وجيهكم والنظافه انعدمت ,18/10/2019,22:09
0,0,0,ترويع الاطفال باصوات كانها قنابل متفجره في ساعات متاخره من الليل ناهيك عن الزحام في الدخول والخروج حرمنا من افنيه منازلنا للاصوات الموسيقيهالمزعجه  كان الحي بلاسكان  ,18/10/2019,22:04
0,0,1,يارب الحين وانا راجعه مالقى مرور مقفلين مداخل الحي  ,18/10/2019,22:00
0,0,1,وضع الحفلات والعروض والفعاليات داخل الاحياء السكنيه سوء تخطيط وقل دبره حسبي الله ونعم الوكيل    ,18/10/2019,21:45
0,0,1,لا تنظيم ولا موقع ولا اختار ولا شي حسبي الله فيكم  ,18/10/2019,21:43
0,0,0,وعدكم بموسم اكبر من الخيال بعيد عن   واقلعوه في قلعه وادرين وجيبو المرور يقفل لكم القلعه مثل ماقفلتو علينا الحي  ,18/10/2019,21:38
1,2,3,  حسبنا الله ونعم الوكيل انا بيتي موقريب مره من الديسكو الي على تركي الاول ومع ذلك صوت الاغاني واصلني عزتي للي قريب منه يانس خافوا الله فيه كبار سن واطفال ومرضى يبون ينامون موقادرين من الازعاج ضايقونا بالسيارات والان يضايقونا بازعاجهم بالموسيقى والالعاب الناريه,18/10/2019,21:34
7,14,18,  نطالب باحترام الوقت لا اكثر ولا اقل ,18/10/2019,21:33
2,19,7,نايمه في امان الله وبالاخير اصحى مفجوعه على صوت العاب ناريه بهذا الوقت شويه احترام للمرضى وكبار السن عيب عليكم تعبنا نشكي          ,18/10/2019,21:33
0,1,3,  الي صاير ترويع مسلمين احد يحط العاب ناريه هالوقت    ,18/10/2019,21:32
1,2,0,  احد يحط العاب ناريه هالوقت واصوات الاغاني عالي بزياده لازم احد يلتفت لنا يعني لا الي نقدر نطلع من بيوتنا ولا الي مرتاحين فيها,18/10/2019,21:30
1,1,1,اهم شي رضى النص مليون اما البشر الي في الحي مالهم اي رضى ولا اي اهميه  ويكون فيه حل علشان التكدس الي صاير وتقفيل المخارج والمداخل للحي  ,18/10/2019,21:29
1,1,0,حسبي الله فيكم   الاالعاب ناريه الساعه 12 مافي اطفال مافي تقدير الكبار السن,18/10/2019,21:28
20,36,26,  العاب ناريه الساعه ١٢٣٠ فجرا  يعني كيف ينامون اطفالنا  اللي اعرفه الالعاب الناريه تكون ٨ او ٩ مساء  فوق الزحمه مانقدر ننام من هالالعاب اللي كنها قنابل  يعني لازم نخرب صحتنا وحياتنا ونسهر ونقلب ليلنا معاشا ونهارنا سباتا   ,18/10/2019,21:24
0,0,0,حسبي الله فيكم الاالعاب ناريه هذا الوقت حسبي الله فيكم  ,18/10/2019,21:23
0,1,0,  الترفيه قنابل بسم الله الساعه ١٢ ونص بالليل هذا شي عادي بحي سكني  مو معقوله والله الوضع مافي مرضى مافي كبار سن مافي اطفال  ,18/10/2019,21:23
1,1,0,اززعاااج هذا وقت العابكم الناريه الناس نايمه الصوت قووويي مررره اتمنى نشوف حل المفروض تبدا بدري على الاقل مو الحين  ,18/10/2019,21:22
1,0,0,  من الواضح ان حضور فعاليات   كانوا سكان حي حطين بعد فشلهم من الوصول للبيت راحوا الفعاليات ,18/10/2019,21:20
0,0,0,مو من حق اهل الحي يشتكون للبلديه      ,18/10/2019,21:20
0,0,0,هذا وهو بس البوليفاردوالوندرلاند مابعد فتحتولا موسم الدرعيه صدق مصيبه مدري وش بيصير وقتها  ,18/10/2019,21:17
0,0,0,حياهم الله على قل الكلافه شكل الرياض كلها بتحضر الا حنا   ,18/10/2019,21:09
0,0,0,  ,18/10/2019,19:50
0,0,0,    نداء لكل مواطن لا تشارك في اذيه اخوانك سكان حي حطين والاحياء المجاوره له ما يسمى ب بوليفارد اقيم في حي سكني وبوسط احياء سكنيه المشروع فرض على اهل هذه الاحياء وتضرروا منه كثيرا خاصه حطين والعقيق اتقوا دعوه مظلوم فانها ليس بينها وبين الله حجاب,18/10/2019,19:50
0,0,0,كان الله بعونكم نتمى ان يصل صوتكم للمسؤليين  ,18/10/2019,19:48
0,0,0,والله مشكله حقيقيه   لابد من حل لها عاجلا,18/10/2019,19:46
0,0,0, ,18/10/2019,19:40
1,2,2,بالامس كان هناك معاناه حقيقيه لسكان بعض الاحياء مثل حي النخيل وبالذات حي حطين في العوده الى منازلهم وبالذات كبار السن واغلاق رجال المرور لبعض المخارج  اتمنى مرعاه ذلك في القادم من الايام حتى نستمتع بالفعاليات بدون مضايقات البعض,18/10/2019,19:34
0,0,0,  وعلى تركي الاول اغلب شمال الرياض تكون فيه فعاليات موسم الرياض فتره مؤقته,18/10/2019,19:30
2,1,0,  سكان اهل حطين   افتح مشاريع الان حولكم فرصه بوليفارد الرياض لو تبيع مويه ٤ ريال خذوها منك مخ,18/10/2019,19:27
0,0,0,الى الله المشتكى وش الحل مو معقول الزحمه اطلاقا  ,18/10/2019,18:58
0,0,0,  اغلب الفعاليات في جهه الشمال راح تتعطل كل المنطقه,18/10/2019,18:55
0,0,0,  قلبي معاكم ياهل حطين وماجاورها هالعذاب بيستمر 60 يوم ,18/10/2019,18:54
3,3,0,  ودي اعرف اللي اختار مكان بوليفارد موسم الرياض كان صاحي في وعيه ودي اناقشه على اي معايير تم اختيار المكان,18/10/2019,18:52
2,0,1,تدفق كبير للكادينزا بالحاره    ,18/10/2019,18:19
0,0,0,وش هالترفيه اللي حبسنا في بيوتنا  ,18/10/2019,18:09
0,0,0,  الله يكون في عون اهل حطين فعلا الامر لايطاق جميع المخارج مقفله  ,18/10/2019,17:58
0,0,1,للاسف سيارات الزائرين اغلقت جميع مخارج سيارات المنزل القراج البارحه واليوم نرجوا اقفال مداخل الاحياء السكنيه ومنع دخول من هم غير سكان الحي    ,18/10/2019,17:54
0,1,0,  لليوم الثاني على التوالي لازال الحي يعج بالزحام والوقوف امام المنازل الله المستعان     ,18/10/2019,17:39
0,1,1,    حقيقه استغرب كيف يرضى المسؤولون عن هيئه الترفيه ما يحصل في الاماكن القريبه من الفعاليات حارات امتلات بالسيارات تتعطل الحركه ازدحامات اصوات الالعاب ضايقت الاحياء المجاوره معقوله مافيه وقت يفكر فيه تركي آل الشيخ بامكان افضل من هذه,18/10/2019,17:24
0,0,1,  ,18/10/2019,17:20
0,1,0,والله الي قاعد يصير مب طبيعي ناس توقف عند البيت واشكال زباله تجي وتتجمع يعني انا شذنبي اني اصبر عليهم شهرين المشكله هاذي لازم تشوفون لها حل غير اصوات الاغاني والازعاج ي رب صبرك بس  ,18/10/2019,17:07
1,1,0,  الاحتفالات والمسخره المفروض خارج النطاق العمراني باي حق تزعجون اهل الاحياء قسم بالله فوضى حسبي الله عليكم,18/10/2019,16:53
1,0,0,يرحم ام امكم مسكرين علينا بكل مكان سلامات وين تبونا نروح  مو طبيعي ترى  ,18/10/2019,16:47
0,3,2,حسبي والله وكفى ساعه ونص عشان اطلع من بيتي عندي موعد غير قوارير المويه والزبايل   ,18/10/2019,16:47
0,0,0,  في ساحات مواقف كبيره لكن اغلب الناس يزاحمونا في الحاره ويوقفون قدام البيوت والعماير وحنا السكان ماصار لنا مكان نوقف فيه,18/10/2019,16:23
0,0,1,  الله يعينكم بس مافيه حل ماراح يسوون لكم شيء استاجروا بعيد لين يخلص الموسم,18/10/2019,16:23
0,0,0,راح يصنفونهم دواعش او اخوان لانهم اشتكوا من الازعاج والصخب  ,18/10/2019,16:12
1,0,0,من النماذج اللي تلبق عند باب البيت   ,18/10/2019,16:11
1,0,0,  انا بالملقا الفجر قمت على صوت العاب ناريه اتمنى نهدي اللعب ياشباب,18/10/2019,16:11
1,1,1,  نحتاج من   مراعاه سكان الحي في تخفيف معاناتنا في الدخول والخروج من الحي ومنع السييارات من استخدام الحي كمواقف ونقاط تجمع        ,18/10/2019,16:11
0,3,1,والله عيييييب عييييب تلبقون عند بيوت الناس   ,18/10/2019,16:10
0,0,0,    نداء لكل مواطن لا تشارك في اذيه اخوانك المواطنين سكان حي حطين والاحياء المجاوره له ما يسمى ب بوليفارد اقيم في حي سكني وبوسط احياء سكنيه مليئه بالسكان المشروع فرض على هذه الاحياء وتضرروا منه ضررا كبيرا خاصه حي حطين والعقيق,18/10/2019,16:06
0,0,0,   العقيق  الملقا,18/10/2019,16:00
0,0,0,  كنت ناويه انقل شمال الرياض لكن لما شفت الزحمه والتكدس السكاني حتى بدون فعاليات في الايام العاديه غيرت رايي كل الفعاليات والاماكن الجديده هناك فعلا كان الله في عون اهلها,18/10/2019,15:40
1,0,0,عادي سكان التحليه كان كل ويكند هذا وضعهم بلا دراما  ,18/10/2019,15:40
0,0,0,  الله يعينكم الفعاليه لها مواقف صخمه وحواليها اراضي فاضيه مو داخل احياء سكنيه بس اكيد الشوارع تسكرت من الزحمه وسببت معاناه اهل الحي الحل بيد المرور تفرغ شوارع لا يمر بها الا السكان الاصوات يطلب من القائمين على الفعاليه خفضها مستقبلا يجب دراسه الاماكن مسبقا,18/10/2019,15:37
2,0,1,كم يوم راح يستمر بوليفارد موسم الرياض   ,18/10/2019,15:32
0,0,0,متر حطين امس ما تاخذه لو بميه ريال ع الزحمه  ,18/10/2019,15:25
1,0,1,  امس وصلت بيتي مشي يا مسؤولين  هل فيه واحد فيكم يقدر حالتنا              ,18/10/2019,15:21
2,4,1,    مشكله مدينه الرياض انها تطورت ونمت على نمط عمراني يخدم السيارت فقط وهذا جعلها مدينه ممتده ومنخفضه الكثافه السكانيه هذا النسيج العمراني افقدها القدره على خلق مناطق تجمع وساحات حيويه قادره على استيعاب اعداد كبيره من الزوار,18/10/2019,15:21
6,25,24,لما كان المشروع فكره على الورق محد فكر شلون حي سكني بيستقبل ٦٠ الف شخص سياره هل تتحمل الشوارع والدوارات في الحي هالرقم وبغض النظر عن مدى صحه الوصول لرقم ٤٠٠ الف زائر بكل فخر ووساعه وجه تقولونها لو صار اي مصيبه لا قدر الله وش بيصير ب هال ٤٠٠ الف     ,18/10/2019,15:21
7,14,5,  نحتاج فزعتكم بايجاد حلول تسهل على اهل الحي دخولهم وخروجهم تعطلت حياتنا الواحد صار يخاف يصير له شيء طارئ ولا يقدر يتحرك من مكانه هل معقول بيستمر الوضع كذا شهرين              ,18/10/2019,15:07
0,7,5,الحمدلله ارض الله واسعه ما افهم سبب اختيار موقع الحفل داخل حي سكني اصلا مزحوم والحركه المروريه فيه صعبه كان زحمه الرياض بارك و الدوارات المقرفه ماتكفي كان بالامكان اختيار ارض على امتداد طريق القصيم او في الجنادريه مكان بعيد عن الاحياء السكنيه    ,18/10/2019,14:56
1,0,1, ,18/10/2019,14:51
0,0,1,  الله يكون بعونهم صار الترفيه كله بالشمال,18/10/2019,14:39
1,0,1,المفروض بحجم هذه الفعاليه وضخامتها تنظم خارج منطقه الرياض بجميع خدماتها من مواقف للسيارات وتنظيم الممرات لاستيعاب هذه الكميه من البشر    ,18/10/2019,14:28
0,0,0,يجب وضع مرور في انحاء الحي تمنع دخول السيارات للاحياء السكنيه وخاصه بعد الساعه ١١ مساء ازعاج السيارات مؤذي وخاصه لمن لا يحترم السكان ويرفع صوت الاغاني ويستخدم البوري  ,18/10/2019,14:27
0,0,0,  اتوقع وصولي للبيت على صلاه العشاء ,18/10/2019,14:27
0,0,0,     ,18/10/2019,14:23
0,0,0,ياخي تاذينا حسبنا الله ونعم الوكيل ارض الله واسعه شفلك اي مكان يكون بعيد بالعربي ازعجتونا الله يزعجعكم  ,18/10/2019,14:20
0,0,0,       ,18/10/2019,14:15
0,0,1,خلاص حطوها وصارت الحين نبي حلول لااهل الحي في دخولهم وخروجهم مع المرور لان المرور محد قاعد يستجيب لكلامنا بسبب الزحمه وان الكل بيقول انا بيتي هنا  ,18/10/2019,14:14
